ID,Trial n,Feedback type,Feedback angle,Power [4-12],Power [1-3],Group
p200,8,ao,high,5.385958731618382e-07,1.1318106725464457e-05,p
p200,9,ao,low,2.567083890516212e-07,1.3587667145424151e-05,p
p200,10,ao,high,4.4512966332799954e-07,2.6639835931720678e-05,p
p200,11,ao,low,1.7390989323360444e-07,1.7168170734842577e-05,p
p201,0,vo,low,5.068200566928352e-07,8.603210398722313e-06,p
p201,1,vo,high,3.3289327937717095e-07,1.131404230322763e-05,p
p201,2,vo,high,2.021750939288113e-06,1.0712645089130815e-05,p
p201,3,vo,low,9.043538999687661e-07,8.117659829727796e-06,p
p201,4,va,low,3.473409694506674e-06,2.9453111261314392e-05,p
p201,5,va,high,7.099345449248133e-07,1.473121245897247e-05,p
p201,6,va,high,8.990031849106581e-08,9.955152529648448e-06,p
p201,7,va,low,1.6289547293711053e-07,8.913569365935114e-06,p
p201,8,ao,low,1.1365245016199452e-06,1.6654311655270974e-05,p
p201,9,ao,high,9.025967698964355e-08,4.988408260032129e-07,p
p201,10,ao,high,4.883617800104626e-07,6.176386289429647e-06,p
p201,11,ao,low,2.4628377694810762e-06,8.009963879357196e-05,p
p202,0,vo,low,4.459978467278728e-06,2.220493116673076e-05,p
p202,1,vo,low,3.1942041652064893e-06,1.467366400092273e-05,p
p202,2,vo,high,7.5169934632149565e-06,2.147800434415799e-05,p
p202,3,vo,high,6.292760481523239e-06,1.466766297809179e-05,p
p202,4,va,low,8.204213051697854e-06,1.7192282785400003e-05,p
p202,5,va,low,5.132460813474183e-06,1.3256058273960613e-05,p
p202,6,va,high,1.044904083964935e-05,2.211599408385678e-05,p
p202,7,va,high,9.384032074764111e-06,1.8879633051880478e-05,p
p202,8,ao,low,6.659905498460525e-06,2.971743685357964e-05,p
p202,9,ao,low,6.709330558147221e-06,3.323984305819977e-05,p
p202,10,ao,high,6.610293735520085e-06,4.512139491200636e-05,p
p202,11,ao,high,4.324947961429208e-06,3.072642743245439e-05,p
p203,0,vo,high,1.8782443498123058e-06,1.4853217242418533e-05,p
p203,1,vo,high,1.0484628336915543e-06,1.1237694851532289e-05,p
p203,2,vo,low,1.2129823504541238e-06,5.7627805567013885e-06,p
p203,3,vo,low,1.186414276746984e-06,8.200829558427435e-06,p
p203,4,va,high,1.3825071227086884e-06,6.1136231403280346e-06,p
p203,5,va,high,1.412410900185746e-06,1.4423119070201287e-05,p
